ID	EntryID	Segments	Meaning
25	282-anya	ɒ ɲ ɒ	Mutter, Vorgesetzte, Leiterin, Ursprung, Muttertier, Mütterchen
26	290-apa	ɒ p ɒ	Vater, Mann, Zunftmeister, Schwiegervater, geistiger, Urheber, Mann, Ahn, Mann, Väterchen, Väterchen, Väterchen, Väterchen
27	293-apad	ɒ p ɒ d	versiegen, Substanz, verlieren
28	296-apat	ɒ p aː t	Abt
29	303-apostol	ɒ p o ʃ.t o l	Jünger, Jesu, eifriger, Verkünder, Sache, Lehre
30	311-ar	aː r	strömen, schwellen
31	318-arany	ɒ r ɒ ɲ	Gold, Geld, Schatz, Goldmünze
32	322-arat	ɒ r ɒ t	ernten
33	351-arok	aː r o k	Grube, Graben, Wallgraben, Tal, Graben, ziehen
34	353-arpa	aː r.p ɒ	Gerste, Gerstenkorn, Auge
35	356-artany	aː r.t aː ɲ	Eber
36	361-aru	aː r u	Ware, Verhandeln, Verrat, verkaufen, Verkäufer, Verräter, Verkäufer, Verräter, Verkäufer, Verräter
37	362-arva	aː r.v ɒ	Waise, einsam, verlassen, verwitwet
38	376-asvany	aː ʃ.v aː ɲ	Graben, Mineral, Ding
39	382-aszo	ɒ s oː	zeitweiliger, Wasserlauf, Trockental
40	389-asszony	ɒ sː o ɲ	Königin, Herrin, Frau, verheiratete, Frau, Fräulein, weibliches, Geschlecht
41	395-aszu	ɒ s uː	trocken, Gelände, Flußbett, usw, verdorrt, Pflanze, Krankheit, Greisenalter, getrocknet, Fisch, gedörrt, Obst, mager, Krankheit, zubereitet, Wein, Dürre
42	414-atya	ɒ c ɒ	Vater, Priester, Mönch, Mann, Obmann, Ahn, Gott, geistiger, Vater, Sache
43	451-bab	b ɒ b	Bohnen-, getupft
44	452-bab	b aː b	kleines, Mädchen, Säugling, Gegenstand, Puppe, Insekten, Strähne, Garn, usw, willenlose, Puppe, Pupille, Webstuhl
45	453-baba	b ɒ b ɒ	Kindchen, Säugling, Frau, Geliebte, Webstuhl, Bestandteil, verschiedener, Figur, Kegelspiel, verbundener, Finger, Kindchen
46	454-baba	b aː b ɒ	altes, Weib, Hebamme, Großmutter, Hexe, Marktfrau
47	475-bagoly	b ɒ ɡ o j	Eule, Nachteule, Menschen, Schuljunge, Alte, dumm
48	479-baj	b ɒ j	Kampf, Zweikampf, Ort, Sorge, Angelegenheit, Plackerei, Krankheit, Defekt, Menstruation, Notdurft, Hinderniss
49	480-bajnok	b ɒ j.n o k	kämpfer, Kampfläufer, Held, Meister, Sport, Faustkampf
50	482-bajor	b ɒ j o r	Bayer, bayerisch
51	488-bak	b ɒ k	bock, Widder, Art, Gerüst, Holz, Kutschbock, Art
52	497-baklo	b ɒ k.l oː	Beere, fleischiger, Lappen, Kinn, Tiere, Quaste, Auge, Bäumen
53	499-bakol	b ɒ k o l	entgegensetzen, widerspenstig, Pferde, Hanf, brechen, Pfahl, Erde, treiben
54	504-bal	b ɒ l	linke, böse, falsch, linke, Seite, linke, Hand, Linkshänder
55	527-balvany	b aː l.v aː ɲ	Steinsäule, Grenzstein, Pfosten, Götze, Bestandteil, Presse, riesig, Riesen-, Bestandteil, hölzernen, Schiffes, Floß, großer, Knüttel, Achse, Steinsäulen, versehen, heidnisch, lebend
56	532-ban	b aː n	Ban, Kommandant, Grenzfestung, Herr
57	545-bant	b aː n.t	behelligen, mißhandeln, hindern, plagen, Krankheit, beleidigen, anrühren
58	547-banya	b aː ɲ ɒ	Bergwerk, Metall, Bergwerk
59	557-barany	b aː r aː ɲ	Lamm
60	559-barat	b ɒ r aː t	Mönch, Nächster, Freund, Freund
61	563-barazda	b ɒ r aː z.d ɒ	Furche
62	568-bard	b aː r.d	einziger, Mann, Tage, fällen, Art, Beil, Art, Axt, Hellebarde
63	588-barsony	b aː r.ʃ o ɲ	Samt
64	593-baszik	b ɒ s i k	vögeln, ficken, etw, scheißen, öfters, ficken, tadeln
65	600-bator	b aː t o r	mutig, sicher, sanft, schnell, mutig, mutig
66	636-beke	b eː k ɛ	Ruhe, Friede, Bund, versöhnen, demütigen
67	640-bel	b eː l	Eingeweide, Innere, Fruchtfleisch, Docht, Seele, Darm, Magen, inner
68	663-ber	b eː r	Lohn, Miete, Knecht
69	668-berc	b eː r.t͡s	Berggipfel, hoher, Spitze, Gegenstandes, steiniger, buschiger, Ort
70	671-berek	b ɛ r ɛ k	Ufer, Hain, Moor
71	677-berkenye	b ɛ r.k ɛ ɲ ɛ	Eberesche, Vogelbeere
72	682-bese	b ɛ ʃ ɛ	Art, Raubvogel, Milan, Krähe
73	688-beszed	b ɛ s eː d	Rede, Wort, Märchen
74	696-bezzeg	b ɛ zː ɛ ɡ	ja, Sporn, Haken, Schwierigkeit, Gewißheit
75	707-bibor	b iː b o r	feines, Leinengewebe, Samt, Rot, Saft, gewonnener, Farbstoff, purpurfarben, Kleid, rot, gefärbt, Kleid, Leinengewebe, gemacht, Kleid, Kardinal
76	721-bika	b i k ɒ	Stier, großer, starker, Mann, männliches, Tier, geschlechtlich, kräftiger, Mann, Buhler, Rammbock, Dampfmaschine
77	748-bivaly	b i v ɒ j	Büffel, dummer, Mensch, Dreschmaschine
78	751-bizik	b iː z i k	zuversichtlich, jmdm, trauen, anvertrauen, Sache, vorsetzen, überlassen, Vertrauen, vertrauen, zuversichtlich, zuversichtlich, zuversichtlich, Vertrauen, Ausschluß
79	753-bizony	b i z o ɲ	wahr, bestimmt, wahrlich, Zeuge, Wahrheit, Wahrheit, sicher, Gewißheit, wahrlich, wahrlich
80	777-bocsar	b o t͡ʃ aː r	Böttcher, Kellermeister
81	788-bodor	b o d o r	Teil, bes, Bandes, Haares, Name, versch, haariger, Pflanzen, kraus, kraus
82	790-bodza	b o d͡z ɒ	Holunderbeere
83	792-bog	b o ɡ	Knoten, Glied, Ast
84	794-bogar	b o ɡ aː r	Käfer, Mucke, Pupille, Insekten, geplagt, laufen, Käfern, bedeckt
85	806-bojt	b o j.t	Büschel, Zottel, Quaste, Behang, Knoten, Tannenzweig, junger, Nadelbaum, Gruppe, Nadelbäumen
86	810-boka	b o k ɒ	Schienbein, Knöchel, Handgelenk, Leder, Art, Fußbekleidung, tanzen
87	816-bokor	b o k o r	Strauch, Busch, Büschel, Haufen, Paar, Menschengruppe, buschig, durchgehend, Pferd, durchgehen, Pferd
88	819-boksa	b o k.ʃ ɒ	junger, Ziegenbock, einjähriger, Hammel, Kohlenmeiler
89	823-boldog	b o l.d o ɡ	heilig, selig, reich, glücklich, freudig, zufrieden, friedlich, gut, dick, schwanger, fortkommen, glücklich, fortkommen, selig, Verstorbener, verstorben
90	826-bolgar	b o l.ɡ aː r	Bulgare, türkischer, bulgarischer, Gärtner, bulgarisch
91	827-bolha	b o l.h ɒ	Floh, Art, Kinderspielzeug, Holzteile, versch, Werkzeuge
92	829-bolond	b o l o n.d	Narr, Webstuhl, närrisch, unvernünftig, giftig, Pflanze, Pilz
93	833-bolt	b o l.t	Gewölbe, Laden, Geschäft, Räumlichkeit, gewölbter, Decke, Kammer, Keller, Bogen, Regenbogen, gewölbt, Kaufmann
94	834-boly	b o j	Ameisenhaufen, Gruppe, Rudel, Bündel, Maulwurfshügel
95	843-bonc	b o n.t͡s	Schenkel
96	853-bor	b o r	Obstwein
97	865-borju	b o r.j uː	Kalb, Jungtier, Schwachkopf, Tornister, Art, Kartenspiel
98	877-bors	b o r.ʃ	Pfeffer, Paprika
99	880-borz	b o r.z	Dachs
100	888-bot	b o t	Kolben, Keule, Stock, Stab, Zepter, Streitkolben, Aufsicht, Herrschaft, Macht, Klotz, prügeln, Weidenruten, schneiden, Zweige, abschneiden
101	900-bo	b øː	reich, breit, weit, weitschweifig, ausführlich, vermehren, reichlich
102	901-bodon	b ø d ø n	Holz-, od, Nahrungsmittel, hohler, Baumstamm, Bienenstock, Einbaum, hohler, Baumstamm, Loch, Stamm
103	907-bojt	b ø j.t	Fastenzeit, Hungern, rituelles, Fasten, Elend
104	908-bok	b ø k	stoßen, verletzen, zeigen
105	911-bolcs	b ø l.t͡ʃ	weise, kluge, Person, Gelehrter, Philosoph
106	913-boleny	b ø l eː ɲ	Wisent, Bison
107	959-bu	b uː	Gram
108	960-bub	b uː b	Höcker, Kamm, Schopf, Vogels, Federbusch, Scheitel
109	967-bucsu	b uː t͡ʃ uː	Erlaubnis, Ablaß, Abschied, Wallfahrt, Kirchweihfest, Kirchweihfest, bezüglich, Teilnehmer, Kirchweihfest
110	973-buga	b u ɡ ɒ	Kapselfrucht, Tannenzapfen, Augapfel, Kokon, Lein-, od, Rispe
111	984-bujik	b uː j i k	verbergen, etw, tauchen, etw, vertiefen, schlüpfen, Kleidungsstück, aufgehen, Pflanze, Vorwand, Ausweg
112	989-bukik	b u k i k	tauchen, fallen, stürzen, Niederlage, erleiden, etw, stoßen, führende, Rolle, verlieren, Fall, kommen, durchfallen, Unterrichtsfach, Polizei, Hände, fallen, erpicht
113	1020-busa	b u ʃ ɒ	untersetzt, kräftig, wohlhabend, voll, Stimme, derb, roh, eigensinnig, dicke, Augenbrauen, od, düsteren, Blick, habend, hinterlistig, dumm, Dickkopf, Art, Fisch
114	1026-buta	b u t ɒ	abwärts, gebogen, dumm, stumpf, derb, schwer, dicht, blind, unberechenbar, stumpf
115	1033-buza	b uː z ɒ	Weizen
116	1041-budos	b y d ø ʃ	stark, riechend, stinkend, abstoßend, unangenehm, beängstigend, Angelegenheit, Situation, Auslauf, Ballspiel, Gefängnis
117	1045-bukk	b y kː	Buchenwald, Buche
118	1056-buvos	b yː v ø ʃ	zauberhaft, magisch
119	1076-beke	b eː k ɛ	Ruhe, Friede, Bund, versöhnen, demütigen
120	1080-bel	b eː l	Eingeweide, Innere, Fruchtfleisch, Docht, Seele, Darm, Magen, inner
121	1102-ber	b eː r	Lohn, Miete, Knecht
122	1107-berc	b eː r.t͡s	Berggipfel, hoher, Spitze, Gegenstandes, steiniger, buschiger, Ort
123	1110-berek	b ɛ r ɛ k	Ufer, Hain, Moor
124	1116-berkenye	b ɛ r.k ɛ ɲ ɛ	Eberesche, Vogelbeere
125	1121-bese	b ɛ ʃ ɛ	Art, Raubvogel, Milan, Krähe
126	1127-beszed	b ɛ s eː d	Rede, Wort, Märchen
127	1186-cenk	t͡s ɛ n.k	hund, bes, beim, Milit, junger, Söldner, Knabe, bengel, Schuft, Rekrut, schuftig, jung
128	1265-cipo	t͡s i p oː	Brotlaib, Gemisch, Buckel, Brotes
129	1301-compo	t͡s o m.p oː	Schleie
130	1347-csal	t͡ʃ ɒ l	trügen, betrügen, locken, scheinheilig, Köder
131	1348-csalad	t͡ʃ ɒ l aː d	fremder, Gefangener, Mitglied, Diener, Familie, Familie, Zool, Bot, Kind, Mitglied, Familie, Hereinnahme, As, König, Ober, Trumpffarbe
132	1351-csalan	t͡ʃ ɒ l aː n	Brennessel
133	1361-csanak	t͡ʃ ɒ n ɒ k	Becher, hölzernes, od, Gefäß
134	1365-csap	t͡ʃ ɒ p	schlagen, hauen, streichen, Maß, zupfen, Wolle, reißen, schleudern, dringen, Richtung, einschlagen, etw, schmeicheln, treiben, lassen, veranstalten, Festmahl, Unterhaltung, Lärm, schlagen, klauen, stibitzen, Dolch, Schlag, Unglück, Spur, gedrückt, voll, Maß, herumschlagen, neckisch
135	1366-iscsap	i ʃ.t͡ʃ ɒ p	hahn, Benennung, Dinge, Feder, Spund, eisernes, Zapfen, Kneipe, Spieß, Hirsches, Schenker
136	1371-csapinos	t͡ʃ ɒ p i n oː ʃ	schief, schräg
137	1385-csat	t͡ʃ ɒ t	Spange, Haken, Schlinge, Stift, Dorn
138	1395-csava	t͡ʃ aː v ɒ	Beize, Gefäß, Lauge, od, Benennung, versch, od, alkalischer, Flüssigkeiten
139	1399-cseber	t͡ʃ ɛ b ɛ r	altes, größerer, Zuber
140	1401-csecs	t͡ʃ eː t͡ʃ	Masern, Blattern, Ausschlag
141	1407-cseh	t͡ʃ ɛ h	Tscheche, tschechisch
142	1420-csemege	t͡ʃ ɛ m ɛ ɡ ɛ	Met, Art, Getränk, Leckerbissen, Kind, Verzehren, Leckerbissen, Frucht, Ohrenschmaus, abgelesene, Traube, Most, Leckerbissen, essen, etw
143	1422-csemete	t͡ʃ ɛ m ɛ t ɛ	Sprößling, Lode, Kind
144	1425-csempesz	t͡ʃ ɛ m.p ɛ s	betrügerisch, falsch, unförmig, krumm, Schmuggler
145	1427-csen	t͡ʃ ɛ n	stehlen, stibitzen, schmuggeln
146	1430-csender	t͡ʃ ɛ n.d ɛ r	Gesträuch
147	1433-csenevesz	t͡ʃ ɛ n ɛ v eː s	verkümmert, unentwickelt
148	1438-csep	t͡ʃ eː p	Dreschflegel, Webstuhl
149	1442-cseplye	t͡ʃ ɛ p.j ɛ	Gestrüpp, Art, Gras
150	1448-csepu	t͡ʃ ɛ p yː	Werg, tadeln
151	1450-cser	t͡ʃ ɛ r	Wald, Gebüsch, Eiche, Strauch, Erle
152	1473-csesz	t͡ʃ ɛ s	kratzen, streifen, leicht, berühren, stehlen, schneiden
153	1476-cseter	t͡ʃ ɛ t ɛ r	Pokal, altes, Viertel, Scheitholz, Schlag, Ackerfläche, Durchmesser, runden, Gegenstandes
154	1499-csiger	t͡ʃ i ɡ ɛ r	minderwertiger, Obstwein
155	1506-csik	t͡ʃ iː k	Aal, Nudel, Geschwulst, Blutegel
156	1512-csiklik	t͡ʃ i k.l i k	kitzeln, jucken, Kitzler
157	1515-csiko	t͡ʃ i k oː	Fohlen, Goldmünze, Spickzettel, versch, Werkzeuge, Spieler, bzw, Figuren, versch, Gesellschaftsspiele, fohlen
158	1526-csimasz	t͡ʃ i m ɒ s	Mücke, Wanze, Art, glänzender, Käfer, Engerling, Ungeziefer
159	1533-csin	t͡ʃ iː n	Ordnung, Art, Ruhe, Stille, Kniff, Nettigkeit, geschmackvolles
160	1545-csip	t͡ʃ iː p	stechen, Bienen, Mücken, usw, zwicken, Fingern, Gegenstand, sticheln, brennen, Zunge, abbrechen, wegnehmen, klauen, festnehmen, angenehm, anziehend, halten, zwicken, Kloster, klemmen, trans, rupfen, zupfen, häkeln
161	1546-csipa	t͡ʃ i p ɒ	Harz
162	1550-csipke	t͡ʃ i p.k ɛ	Hagebutte, Dorn
163	1553-csipo	t͡ʃ iː p øː	Hüfte
164	1563-csiszar	t͡ʃ i s aː r	Waffenschmied, Schwertfeger, Weintrinker, Viehhändler, dieb
165	1569-csiz	t͡ʃ iː z	Zeisig
166	1578-csoda	t͡ʃ o d ɒ	Wunder, Ungetüm, Monstrum, lobenswerte, Tat, Tugend, Verwunderung, Verdruß, heftigen, Ausdrücken, Bedeutung, wunderbar, außerordentlich, häßlich, schmutzig, bewundern, halten, wundern, merkwürdig, halten
167	1579-csoka	t͡ʃ oː k ɒ	Dohle, Familie, Fliegenfänger, gehörende, Ring, Iris, Auge, Seminarist, scherzhaft, Krähe, od, Kind, scherzhaft, Gans, kleines, schwarzes, Mal, Schaf, Rabe, Iris, weiß, gefleckt, Pferd, Iris, habend, Pferd, Rindvieh, usw, große, Augen, unbestimmter, Farbe, habend, dunkel, Haare, Viehs
168	1586-csombor	t͡ʃ o m.b o r	Art, Minze, Thymian
169	1587-csomo	t͡ʃ o m oː	Auswuchs, Bündel, Knoten, Seil, Strick, Menge, Haufen, Knäuel, Verwicklung, Paket, Knotenpunkt, Schar, Gruppe
170	1589-csomoszol	t͡ʃ o m o s o l	drückend, zerquetschen, Weintrauben, Obst, stopfen, Stock, schlagen
171	1590-csonak	t͡ʃ oː n ɒ k	Boot, Kahn, unterste, Blütenblatt, Schuh
172	1591-csonka	t͡ʃ o n.k ɒ	verstümmelt, Mensch
173	1592-csont	t͡ʃ o n.t	Knochen, Bein, Mensch, Kerl, scherzhaft
174	1600-csorog	t͡ʃ o r o ɡ	regnet, lecken, zB, Topf, abfallen, jmdn, etw, Geld, Fluß
175	1608-csova	t͡ʃ oː v ɒ	Vogelscheuche, usw, Zeichen, Feuermachen
176	1616-csok	t͡ʃ ø k	Penis, größerer, Tiere, haupts, Stieren, Ochsenziemer, Holzklotz
177	1617-csok	t͡ʃ ø k	nachlassen, abnehmen, verrenken, Wachstum, zurückbleiben, störrisch, Wachstum, zurückgeblieben
178	1620-csomor	t͡ʃ ø m ø r	Art, Übersättigung, Knoten, Haut, Widerwille, ekelhaft
179	1624-csorog	t͡ʃ ø r ø ɡ	rieseln, Bach, rasseln, klappern, schwätzen, zirpen, tanzen, Klingel, Bach
180	1628-csosz	t͡ʃ øː s	Ausrufer, Wächter, türkischer, Bote, unbefugt, bewachen
181	1639-csuka	t͡ʃ u k ɒ	Hecht, Schuh
182	1648-csuma	t͡ʃ u m ɒ	Knospe, Keim, Stengel, Butzen, Kolben, inneres, Maiskolben
183	1649-csunya	t͡ʃ uː ɲ ɒ	grob, roh, häßlich, schändlich, wild, toll, kräftig, hochgradig, Scham, Körperteil
184	1670-csud	t͡ʃ y d	Sprungbein, Würfel, Handgelenk, Ring, Säule, Lauf, Teil
185	1679-csutortok	t͡ʃ y t ø r.t ø k	Donnerstag
186	1697-dal	d ɒ l	Lied, Vogelsang, Melodie, Art, lyrisches, Gedicht
187	1701-dalm	d ɒ l.m	Lasttier
188	1717-daroc	d ɒ r oː t͡s	Jäger
189	1800-dever	d eː v eː r	Brachsen
190	1843-dinnye	d i ɲː ɛ	Wassermelone
191	1844-dio	d i.oː	Walnuß, Schlosserei, Waffentechnik, Adamsapfel, Nuß, Fleischstück
192	1859-diszno	d i s.n oː	Schwein, As, ungarischen, Kartenspiel, stachelige, Frucht, Art, Kartenspiel, unflätig, groß, Schwein, schlachten
193	1867-dob	d o b	schleudern, werfen, jmdn, treffen, Hieb, Stein, usw, stoßen
194	1868-dob	d o b	Trommel, Schachtel, Trommelfell, Geschwulst, Geschwulst, verursachende, Krankheit, Teil, Maschine, od, Gerätes, Trommler
195	1872-doboz	d o b o z	Behälter, Schachtel, Lederbeutel, Behälter, Stroh, od, Binse, haupts, Eier, Schutzhülle
196	1876-doh	d o h	Modergeruch, Muff, muffig, Luft
197	1888-domboru	d o m.b o r uː	gewölbt, konvex
198	1896-dong	d o n.ɡ	dröhnen, summen, jmdn, tun, wispern, murmeln, Hummel
199	1916-dobor	d ø b ø r	Art
200	1920-dog	d ø ɡ	Krankheit, Seuche, Leiche, Aas, lebendes, Tier, bes, Hund, Pferd, Mensch, Unmenge, Bestie, zugrunde, richten, zugrunde, gehen, Versuchung, bringen, zunichte, kaputtgehen, Schinder, Mediziner
201	1930-dore	d øː r ɛ	albern, wahnsinnig
202	1939-draga	d.r aː ɡ ɒ	lieb, geliebt, wertvoll, teuer, kostspielig, Teuerung, liebe, geliebte, Person, schätzen, teuer, finden
203	1961-duda	d u d ɒ	Dudelsack, Schimpfwort, Pfeife, Horn, Trompete, Hupe
204	1993-dusnok	d u ʃ.n o k	Kirche, Knecht, Seele, ehemaligen, Herren, gewisse, Dienste, leisten, mußte
205	2013-el	eː l	leben, nähren, erhalten, benützen, gebrauchen, jemandem, jemandem, zusammen, wohnen, irgendein, Leben, führen, irgendwelchem, Zustand, dauerndem, leben, Verhältnis, leben, aufhalten, wohnen, Lebensmittel, Lebendige, Leben, Unterhalt, Fortkommen, Getreide, és, Leben, nähren, beleben, a, hochleben, lassen, Amme, Lebens-, lebhaft, erstarken, genießbar, brauchbar, Hefe, fristen, él, schmarotzen, Lebensmittel, Erlebnis, lebenslang
206	2016-eb	ɛ b	Hund, Kerl, Hunde-, hündisch
207	2030-ed	ɛ d	Getreide
208	2034-edes	eː d ɛ ʃ	lieb, geliebt, ungesalzen, sauer, süß, angenehm, blutsverwandt, ganz, Süßigkeit, Liebling, bes, Anrede, leiblicher, Vater, leibliche, Mutter, bes, Anrede, seelische, Harmonie, Süßigkeit, ergötzen, ergötzen
209	2037-eg	eː ɡ	brennen, Brandwunden, erleiden, innerlich, entflammt, brennen, etw, Gefühl, Ehrgeiz, usw, brennen, lassen, Haut-, Sodbrennen, usw, empfinden, zugrunde, gehen, zuschanden, erfolglos, sehnen, reizen, plagen, Leidenschaft, Sehnsucht, Plage, Bedrängnis
210	2042-eger	eː ɡ ɛ r	Erle
211	2056-egyeb	ɛ ɟ eː b	sonstig, ausgenommen, sei
212	2067-egyes	ɛ ɟ ɛ ʃ	einträchtig, friedlich, einsam, einzig, identisch, ähnlich, einfach, einfältig, einheitlich, Eins, Zahl, Note, Eintracht, Einverständnis, Vereinigung, einheitlich, Verbindung, Vermählung, Einheit, Verein
213	2073-egyhaz	ɛ ɟ.h aː z	Kirche, Gebäude, Kirche, Organisation
214	2085-eh	eː h	hungrig, Hunger, hungrig
215	2096-ek	eː k	Keil, Akzent, Zeichen, verkeilen, Akzent, versehen, Akzent, Zeichen
216	2100-ekes	eː k ɛ ʃ	voller, Schmuck, schön, trefflich, passend, verziert
217	2106-el	eː l	leben, nähren, erhalten, benützen, gebrauchen, jmdm, zusammenleben, jmdm, leben, Leben, führen, befinden, jmdm, leben, verweilen, wohnen, Lebensmittel, Nahrung, Lebendige, Leben, Lebensmittel, Unterhalt, Fortkommen, Getreide, Broterwerb, Leben, nähren, beleben, hochleben, lassen, Amme, Lebens-, lebhaft, erstarken, genießbar, brauchbar, Hefe, fristen, schmarotzen, Lebensmittel, Erlebnis, lebenslang
218	2107-el	eː l	Spitze, Kante, Bergspitze, Spitze, Stichwaffe, od, Werkzeuges, Schärfe, geordnetes, Heer, erste, Stelle, Spitze, kantig, scharf, spitz
219	2127-eleve	ɛ l ɛ v ɛ	vorne, attr, Funktion, erstens, erster, anfangs, zuerst, vorwärts, voraus, vornherein
220	2140-ellik	ɛ lː i k	Junge, werfen
221	2141-ellik	ɛ lː i k	besteigen, Pferd, Wagen
222	2145-elo	ɛ l øː	vorderer, erster, Anfang, Erstling, Beste, Vorfahren, erstens
223	2156-elso	ɛ l.ʃ øː	erster, erster, Tag, Monats
224	2160-elv	ɛ l.v	Land, Gebiet, jenseits, etw
225	2173-eme	ɛ m ɛ	Sau, Weibchen
226	2181-emik	ɛ m i k	saugen, saugen, Gebiß, Zügel, weibliche, Brust, Säugling, säugen
227	2205-eper	ɛ p ɛ r	Erdbeere, Maulbeere, Maulbeerbaum
228	2217-er	eː r	Bach
229	2224-iserdo	i ʃ ɛ r.d øː	Wald, Wald, hüten
230	2234-erez	eː r ɛ z	fühlen, empfinden, sinnlich, wahrnehmen, bemerken, verstehen, ahnen, aufschrecken, Besinnung, kommen, Empfindungsfähigkeit, Gefühl, gefühllos, Empfindungsfähigkeit, Gefühl, Empfindungsfähigkeit, Empfindlichkeit, Gefühl, Sinn, Verständnis, fühlbar, empfindlich, fühlen, lassen
231	2245-ero	ɛ r øː	Kraft, Stärke, Heer, Streitmacht, Gewalt, Tugend, Tüchtigkeit, Geltung, Vermögen, Fort
232	2259-esik	ɛ ʃ i k	fallen, stürzen, Zustand, kommen, geraten, geschehen, fallen, lassen, Knie, fallen, flehen, Tod, finden, fallen, regnet, schneit, hagelt, usw, jmdm, zuteil, irgendwie, schmecken, behagen, liegen, jmdn, stürzen, erbarmen, abnehmen, Menge, Maß, befallen, bedecken, Fall, Sonnenuntergang, Kasus, Fall, ungeschickt, vergänglich
233	2271-eszik	ɛ s i k	essen, aufzehren, jmdm, od, etw, zehren, zerfressen, beißen, brennen, Speisen, jmdm, essen, geben, füttern, vergiften, eingeben, Speise, enthaltend, Speisen, gebräuchlich, Speisen, Speise, Proviant, vergiften, ungenießbar, Speisesaal, Kantine, Hunger, Appetit
234	2304-evet	ɛ v ɛ t	Eichhörnchen
235	2325-fa	f ɒ	Baum, Holz, Wald, Lanze, Bäumen, bepflanzt, holzig, Holz, hacken, Holz, holen, verholzen, abstumpfen
236	2367-falu	f ɒ l u	Dorf, Einwohnerschaft, Dorfes, Schloß, Festung, Grundbesitz, Dorf, Grundbesitz, dörflich, Dorfbewohner
237	2371-fan	f ɒ n	haare, Dickicht, Wurzeln, haarig
238	2381-far	f ɒ r	Hinterteil, Steiß, Menschen, Säugetiere, oberer, Schenkel, Menschen, starken, Rundung, plötzlich, Ende, Berges, Heck, hinterer, Teil, Fahrzeugen, od, Gebäuden
239	2392-farkas	f ɒ r.k ɒ ʃ	Wolf, Art, Gerät, Herstellung, Schindeln, Wolf, Maschine
240	2395-farok	f ɒ r o k	Schwanz, Schweif, Teil, Ende, Hinterteil, etw, Penis, Pinsel, letzten, Tage, Ende, Zeitspanne, Gefolge, Geleit, geschwänzt
241	2413-fattyu	f ɒ cː uː	Bastard, vernachlässigtes, Kind, unecht, Neben-, Wasser-, Zweig, Flegel, unehelich, gebären, treiben, entfernen
242	2428-fed	f ɛ d	decken, schützen, Kosten, decken, Topf, Deckel, zudecken, Verborgenheit, Deckung, Bankwesen, Läufer, Deck, Deckung, milit
243	2437-fegyver	f ɛ ɟ.v ɛ r	Gewehr, Waffe, Kampf, Krieg, bewaffnen
244	2438-fegyvernok	f ɛ ɟ.v ɛ r.n ø k	Waffenträger, Waffenschmied
245	2439-feher	f ɛ h eː r	weiß, moralisch, rein, unschuldig, Weißes, Weiße, etw, Eiweiß, usw, Weiße, Speck
