ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Meaning,Sense_ID,Entry_ID
Hungarian-206-bruder-1,112,Hungarian,206-bruder,ara ∆,ara,ɒ r ɒ,,uesz,,,^ a r a $,default,Bruder; Schwiegertochter; Braut,Bruder-1,314-ara
Hungarian-206-bruder-2,113,Hungarian,206-bruder,atyafi,atyafi,ɒ c ɒ f i,,uesz,,,^ a ty a f i $,default,Nonne; Bruder; Bauer; Mönch; Mitmensch; Geschwister; verwandter; Gemahlin; Glaubensgenosse; 〈als Anrede〉; Lanmann,Bruder-2,415-atyafi
Hungarian-915-lassen-1,135,Hungarian,915-lassen,ad,ad,ɒ d,,uesz,,,^ a d $,default,zukommen lassen; schenken; geben; liefern; lassen; verkaufen; veröffentlichen; Geben; Beleg; Angabe; Gesetzgeber; Herausgeber; 〈als Teil eines Schimpfw〉; Tradition; Beitrag,lassen-1,36-ad
Hungarian-984-sichunterhalten-1,142,Hungarian,984-sichunterhalten,abajog ×,abajog,ɒ b ɒ j o ɡ,,uesz,,,^ a b a j o g $,default,schreien; plaudern; klagen,plaudern-1,6-abajog
Hungarian-195-kind-1,147,Hungarian,195-kind,apró,apró,ɒ p r oː,,uesz,,,^ a p r ó $,default,-klein; winzig; gering; schmal; Kind; Kind; Pocken; Häufel; Kleingeld; Kleinigkeit; Kleinigkeit; Schlachtabfälle,Kind-1,307-apro
Hungarian-195-kind-2,148,Hungarian,195-kind,apró,apró,ɒ p r oː,,uesz,,,^ a p r ó $,default,-klein; winzig; gering; schmal; Kind; Kind; Pocken; Häufel; Kleingeld; Kleinigkeit; Kleinigkeit; Schlachtabfälle,Kind-2,307-apro
Hungarian-195-kind-3,149,Hungarian,195-kind,apród,apród,ɒ p r oː d,,uesz,,,^ a p r ó d $,default,klein; Kind; Lehrling; Schildknappe; Page; Kurmacher; kleinweise,Kind-3,309-aprod
Hungarian-14-kinn-1,151,Hungarian,14-kinn,ajak,ajak,ɒ j ɒ k,,uesz,,,^ a j a k $,default,Mund; Mund; Lippe; Lippe; Schamlippe; Schamlippe; Öffnung 〈eines Gefäßes〉; Öffnung 〈eines Gefäßes〉; Kinn; Kinn; Lippenblütler; Lippenblütler,Kinn-1,120-ajak
Hungarian-14-kinn-2,152,Hungarian,14-kinn,ajak,ajak,ɒ j ɒ k,,uesz,,,^ a j a k $,default,Mund; Mund; Lippe; Lippe; Schamlippe; Schamlippe; Öffnung 〈eines Gefäßes〉; Öffnung 〈eines Gefäßes〉; Kinn; Kinn; Lippenblütler; Lippenblütler,Kinn-2,120-ajak
Hungarian-14-kinn-3,153,Hungarian,14-kinn,áll²,áll,aː lː,,uesz,,,^ á ll $,default,Kinn; Kinkette,Kinn-3,203-all
Hungarian-259-kreis-1,157,Hungarian,259-kreis,abroncs,abroncs,ɒ b r o n t͡ʃ,,uesz,,,^ a b r o n cs $,default,reif; Kreis; Ring; Reifen am Saume des Frauenkleides,Kreis-1,19-abroncs
Hungarian-190-lehm-1,159,Hungarian,190-lehm,agyag,agyag,ɒ ɟ ɒ ɡ,,uesz,,,^ a gy a g $,default,Ton; Ton; Lehm,Lehm-1,111-agyag
Hungarian-548-klug-1,162,Hungarian,548-klug,agg,agg,ɒ ɡː,,uesz,,,^ a gg $,default,alt; bejahrt; hochbetagt 〈Person〉; schlau; erfahren; hochgewachsen,schlau-1,65-agg
Hungarian-548-klug-2,163,Hungarian,548-klug,agyafúrt,agyafúrt,ɒ ɟ ɒ f uː r t,,uesz,,,^ a gy a f ú r t $,default,schlau; schlau; irrsinnig; irrsinnig; närrisch; hartnäckig; durchtrieben; stur,schlau-2,110-agyafurt
Hungarian-548-klug-3,164,Hungarian,548-klug,agyafúrt,agyafúrt,ɒ ɟ ɒ f uː r t,,uesz,,,^ a gy a f ú r t $,default,schlau; schlau; irrsinnig; irrsinnig; närrisch; hartnäckig; durchtrieben; stur,schlau-3,110-agyafurt
Hungarian-548-klug-4,165,Hungarian,548-klug,álnok,álnok,aː l n o k,,uesz,,,^ á l n o k $,default,schlau; falsch; Verbrecher,schlau-4,223-alnok
Hungarian-365-stoff-1,168,Hungarian,365-stoff,anyag,anyag,ɒ ɲ ɒ ɡ,,uesz,,,^ a ny a g $,default,Materie; Urstoff; Zeug; Tuch; Stoff,Tuch-1,283-anyag
Hungarian-365-stoff-2,169,Hungarian,365-stoff,anyag,anyag,ɒ ɲ ɒ ɡ,,uesz,,,^ a ny a g $,default,Materie; Urstoff; Zeug; Tuch; Stoff,Stoff-1,283-anyag
Hungarian-444-schaden-1,208,Hungarian,444-schaden,árt¹,árt,aː r t,,uesz,,,^ á r t $,default,schaden; schädlich,schaden-1,354-art
Hungarian-416-gott-1,223,Hungarian,416-gott,atya,atya,ɒ c ɒ,,uesz,,,^ a ty a $,default,Vater; allverehrter Mann; Ahn; Priester; Mönch; Obmann; Gott; geistiger Vater einer Sache,Gott-1,414-atya
Hungarian-840-graben-1,230,Hungarian,840-graben,árok,árok,aː r o k,,uesz,,,^ á r o k $,default,Tal; Grube; Graben; Wallgraben; Graben ziehen,Graben-1,351-arok
Hungarian-840-graben-2,231,Hungarian,840-graben,ásvány,ásvány,aː ʃ v aː ɲ,,uesz,,,^ á s v á ny $,default,Graben; Ausgegrabenes; Grabgut; Mineral; überaltetes Ding,Graben-2,376-asvany
Hungarian-840-graben-3,232,Hungarian,840-graben,ás,ás,aː ʃ,,uesz,,,^ á s $,default,Grube; graben; Gräber; Spaten; Ausgegrabenes,graben-1,368-as
Hungarian-336-puppe-1,245,Hungarian,336-puppe,alak¹,alak,ɒ l ɒ k,,uesz,,,^ a l a k $,default,Gestalt; Puppe; Docke; Maske; Liebchen; Form; verziert; Gaukler; Komödiant,Puppe-1,165-alak
Hungarian-900-schenken-1,246,Hungarian,900-schenken,ad,ad,ɒ d,,uesz,,,^ a d $,default,zukommen lassen; schenken; geben; liefern; lassen; verkaufen; veröffentlichen; Geben; Beleg; Angabe; Gesetzgeber; Herausgeber; 〈als Teil eines Schimpfw〉; Tradition; Beitrag,schenken-1,36-ad
Hungarian-318-tur-1,247,Hungarian,318-tur,ajtó,ajtó,ɒ j t oː,,uesz,,,^ a j t ó $,default,Tür; Tür; ajtóőriző; öffnen,Tur-1,126-ajto
Hungarian-318-tur-2,248,Hungarian,318-tur,ajtó,ajtó,ɒ j t oː,,uesz,,,^ a j t ó $,default,Tür; Tür; ajtóőriző; öffnen,Tur-2,126-ajto
Hungarian-616-hinab-1,249,Hungarian,616-hinab,alá,alá,ɒ l aː,,uesz,,,^ a l á $,default,abwärts; unten; darunter; hinunter; für; unterhalb,abwarts-1,160-ala
Hungarian-55-traum-1,252,Hungarian,55-traum,álom,álom,aː l o m,,uesz,,,^ á l o m $,default,Traum; Schlaf; Einschlafen,Traum-1,227-alom
Hungarian-1016-ertragen-1,282,Hungarian,1016-ertragen,áll¹,áll,aː lː,,uesz,,,^ á ll $,default,behaupten; behaupten; stehen; sich in einer Lage befinden; stillstehen; emporragen; sich erheben; bestehen; existieren; gelten 〈Wort usw.〉; aushalten; ertragen; in eine Lage; in einen Zustand kommen; abhängen; sich zusammensetzen; sich offenbaren; fortdauern; erhalten bleiben; wert sein; kosten; stellen; stellen; Stelle; Position; Dienststelle,ertragen-1,202-all
Hungarian-543-bose-1,288,Hungarian,543-bose,árgyélus ×,árgyélus,aː r ɟ eː l u ʃ,,uesz,,,^ á r gy é l u s $,default,närrisch; 〈mildes Fluchw〉; herumirrend; böse; schlimm; potztausend!,bose-1,335-argyelus
Hungarian-740-einschlafen-1,294,Hungarian,740-einschlafen,álom,álom,aː l o m,,uesz,,,^ á l o m $,default,Traum; Schlaf; Einschlafen,Einschlafen-1,227-alom
Hungarian-202-vater-1,300,Hungarian,202-vater,apa,apa,ɒ p ɒ,,uesz,,,^ a p a $,default,Vater; bejahrter Mann; bejahrter Mann; Zunftmeister; Schwiegervater; geistiger Urheber; allverehrter Mann; Ahn; Väterchen; Väterchen; Väterchen; Väterchen,Vater-1,290-apa
Hungarian-202-vater-2,301,Hungarian,202-vater,após,após,ɒ p oː ʃ,,uesz,,,^ a p ó s $,default,Vater; bejahrter Mann; Schwiegervater; Väterchen; Großvater,Vater-2,302-apos
Hungarian-202-vater-3,302,Hungarian,202-vater,atya,atya,ɒ c ɒ,,uesz,,,^ a ty a $,default,Vater; allverehrter Mann; Ahn; Priester; Mönch; Obmann; Gott; geistiger Vater einer Sache,Vater-3,414-atya
Hungarian-348-nahrung-1,335,Hungarian,348-nahrung,abrak,abrak,ɒ b r ɒ k,,uesz,,,^ a b r a k $,default,Ration des Dienstvolks; Nahrung; Pferdefutter,Nahrung-1,14-abrak
Hungarian-886-erhalten-1,364,Hungarian,886-erhalten,akceptál,akceptál,ɒ k t͡s ɛ p t aː l,,uesz,,,^ a k c e p t á l $,default,annehmen; gutheißen; aufnehmen; empfangen; einrechnen,empfangen-1,135-akceptal
Hungarian-886-erhalten-2,365,Hungarian,886-erhalten,aprehendál ∆,aprehendál,ɒ p r ɛ h ɛ n d aː l,,uesz,,,^ a p r e h e n d á l $,default,erwerben; bekommen; fordern; verübeln; tadeln; grollen; bemäkeln,bekommen-1,305-aprehendal
Hungarian-247-geschenk-1,367,Hungarian,247-geschenk,ajándék,ajándék,ɒ j aː n d eː k,,uesz,,,^ a j á n d é k $,default,Geschenk; Geschenk; Opfergabe; Opfergabe,Geschenk-1,121-ajandek
Hungarian-247-geschenk-2,368,Hungarian,247-geschenk,ajándék,ajándék,ɒ j aː n d eː k,,uesz,,,^ a j á n d é k $,default,Geschenk; Geschenk; Opfergabe; Opfergabe,Geschenk-2,121-ajandek
Hungarian-898-geben-1,370,Hungarian,898-geben,ad,ad,ɒ d,,uesz,,,^ a d $,default,zukommen lassen; schenken; geben; liefern; lassen; verkaufen; veröffentlichen; Geben; Beleg; Angabe; Gesetzgeber; Herausgeber; 〈als Teil eines Schimpfw〉; Tradition; Beitrag,geben-1,36-ad
Hungarian-898-geben-2,371,Hungarian,898-geben,ad,ad,ɒ d,,uesz,,,^ a d $,default,zukommen lassen; schenken; geben; liefern; lassen; verkaufen; veröffentlichen; Geben; Beleg; Angabe; Gesetzgeber; Herausgeber; 〈als Teil eines Schimpfw〉; Tradition; Beitrag,Geben-1,36-ad
Hungarian-186-gold-1,375,Hungarian,186-gold,arany,arany,ɒ r ɒ ɲ,,uesz,,,^ a r a ny $,default,Gold; Geld; Schatz; Goldmünze; Goldmaß,Gold-1,318-arany
Hungarian-199-grovater-1,380,Hungarian,199-grovater,após,após,ɒ p oː ʃ,,uesz,,,^ a p ó s $,default,Vater; bejahrter Mann; Schwiegervater; Väterchen; Großvater,Grovater-1,302-apos
Hungarian-776-anhalten-1,396,Hungarian,776-anhalten,állapik †,állapik,aː lː ɒ p i k,,uesz,,,^ á ll a p i k $,default,stehenbleiben; festhalten an etw.; anhalten,anhalten-1,207-allapik
Hungarian-776-anhalten-2,397,Hungarian,776-anhalten,árestál ∆,árestál,aː r ɛ ʃ t aː l,,uesz,,,^ á r e s t á l $,default,anhalten; pfänden; sperren; verhaften,anhalten-2,329-arestal
Hungarian-680-hangen-1,400,Hungarian,680-hangen,akaszt,akaszt,ɒ k ɒ s t,,uesz,,,^ a k a sz t $,default,hängen; hängen; schlagen; Haken; Haken; binden; binden,hangen-1,134-akaszt
Hungarian-680-hangen-2,401,Hungarian,680-hangen,akaszt,akaszt,ɒ k ɒ s t,,uesz,,,^ a k a sz t $,default,hängen; hängen; schlagen; Haken; Haken; binden; binden,hangen-2,134-akaszt
Hungarian-494-hart-1,405,Hungarian,494-hart,acintos ×,acintos,ɒ t͡s i n t o ʃ,,uesz,,,^ a c i n t o s $,default,hart; gestählt; stählern,hart-1,29-acintos
Hungarian-622-kaum-1,406,Hungarian,622-kaum,alig,alig,ɒ l i ɡ,,uesz,,,^ a l i g $,default,schwerlich; fast nicht; ungefähr 〈soviel〉; kaum; ganz selten; unwohl 〈sein〉,kaum-1,191-alig
Hungarian-19-kopf-1,410,Hungarian,19-kopf,agy,agy,ɒ ɟ,,uesz,,,^ a gy $,default,Schädel; Schädel; Kopf; Kopf; Nabe; Nabe; Gewehrkolben; Gewehrkolben; Halfter; Halfter; Gehirn; Gehirn; Vernunft; Vernunft; verprügeln; verprügeln; ausklügeln; ausklügeln; ersinnen; ersinnen,Kopf-1,107-agy
Hungarian-19-kopf-2,411,Hungarian,19-kopf,agy,agy,ɒ ɟ,,uesz,,,^ a gy $,default,Schädel; Schädel; Kopf; Kopf; Nabe; Nabe; Gewehrkolben; Gewehrkolben; Halfter; Halfter; Gehirn; Gehirn; Vernunft; Vernunft; verprügeln; verprügeln; ausklügeln; ausklügeln; ersinnen; ersinnen,Kopf-2,107-agy
Hungarian-331-haken-1,434,Hungarian,331-haken,akaszt,akaszt,ɒ k ɒ s t,,uesz,,,^ a k a sz t $,default,hängen; hängen; schlagen; Haken; Haken; binden; binden,Haken-1,134-akaszt
Hungarian-331-haken-2,435,Hungarian,331-haken,akaszt,akaszt,ɒ k ɒ s t,,uesz,,,^ a k a sz t $,default,hängen; hängen; schlagen; Haken; Haken; binden; binden,Haken-2,134-akaszt
Hungarian-949-jagen-1,445,Hungarian,949-jagen,abajgat,abajgat,ɒ b ɒ j ɡ ɒ t,,uesz,,,^ a b a j g a t $,default,beunruhigen; belästigen; hetzen; jagen; schreien; prügeln,jagen-1,5-abajgat
Hungarian-904-kussen-1,476,Hungarian,904-kussen,ápol,ápol,aː p o l,,uesz,,,^ á p o l $,default,pflegen; küssen; liebkosen; Kuß; Geküsse,kussen-1,300-apol
Hungarian-545-faul-1,491,Hungarian,545-faul,alamuszi,alamuszi,ɒ l ɒ m u s i,,uesz,,,^ a l a m u sz i $,default,unbeholfen; ungeschickt; träge; faul; verschlafen; heimtückisch,trage-1,168-alamuszi
Hungarian-545-faul-2,492,Hungarian,545-faul,alamuszi,alamuszi,ɒ l ɒ m u s i,,uesz,,,^ a l a m u sz i $,default,unbeholfen; ungeschickt; träge; faul; verschlafen; heimtückisch,faul-1,168-alamuszi
Hungarian-774-weggehen-1,498,Hungarian,774-weggehen,árva,árva,aː r v ɒ,,uesz,,,^ á r v a $,default,Waise; einsam; verlassen; verwitwet; elternlos,verlassen-1,362-arva
Hungarian-7-lippe-1,513,Hungarian,7-lippe,ajak,ajak,ɒ j ɒ k,,uesz,,,^ a j a k $,default,Mund; Mund; Lippe; Lippe; Schamlippe; Schamlippe; Öffnung 〈eines Gefäßes〉; Öffnung 〈eines Gefäßes〉; Kinn; Kinn; Lippenblütler; Lippenblütler,Lippe-1,120-ajak
Hungarian-7-lippe-2,514,Hungarian,7-lippe,ajak,ajak,ɒ j ɒ k,,uesz,,,^ a j a k $,default,Mund; Mund; Lippe; Lippe; Schamlippe; Schamlippe; Öffnung 〈eines Gefäßes〉; Öffnung 〈eines Gefäßes〉; Kinn; Kinn; Lippenblütler; Lippenblütler,Lippe-2,120-ajak
Hungarian-333-schloss-1,518,Hungarian,333-schloss,árestál ∆,árestál,aː r ɛ ʃ t aː l,,uesz,,,^ á r e s t á l $,default,anhalten; pfänden; sperren; verhaften,sperren-1,329-arestal
Hungarian-217-lust-1,520,Hungarian,217-lust,ándung ×,ándung,aː n d u ŋ,,uesz,,,^ á n d u ng $,default,Ahnung; Lust; Stimmung,Lust-1,260-andung
Hungarian-615-unten-1,525,Hungarian,615-unten,alá,alá,ɒ l aː,,uesz,,,^ a l á $,default,abwärts; unten; darunter; hinunter; für; unterhalb,unten-1,160-ala
Hungarian-615-unten-2,526,Hungarian,615-unten,alattomban,alattomban,ɒ l ɒ tː o m b ɒ n,,uesz,,,^ a l a tt o m b a n $,default,unten; heimtückisch; heimlich; unmerklich; leise; niedrig,unten-2,175-alattomban
Hungarian-422-geld-1,552,Hungarian,422-geld,arany,arany,ɒ r ɒ ɲ,,uesz,,,^ a r a ny $,default,Gold; Geld; Schatz; Goldmünze; Goldmaß,Geld-1,318-arany
Hungarian-203-mutter-1,558,Hungarian,203-mutter,anya,anya,ɒ ɲ ɒ,,uesz,,,^ a ny a $,default,Mutter; Vorgesetzte; Leiterin; Ursprung; Stamm-mutter; Muttertier; Mütterchen,Mutter-1,282-anya
Hungarian-4-mund-1,562,Hungarian,4-mund,ajak,ajak,ɒ j ɒ k,,uesz,,,^ a j a k $,default,Mund; Mund; Lippe; Lippe; Schamlippe; Schamlippe; Öffnung 〈eines Gefäßes〉; Öffnung 〈eines Gefäßes〉; Kinn; Kinn; Lippenblütler; Lippenblütler,Mund-1,120-ajak
Hungarian-4-mund-2,563,Hungarian,4-mund,ajak,ajak,ɒ j ɒ k,,uesz,,,^ a j a k $,default,Mund; Mund; Lippe; Lippe; Schamlippe; Schamlippe; Öffnung 〈eines Gefäßes〉; Öffnung 〈eines Gefäßes〉; Kinn; Kinn; Lippenblütler; Lippenblütler,Mund-2,120-ajak
Hungarian-486-schmal-1,572,Hungarian,486-schmal,apró,apró,ɒ p r oː,,uesz,,,^ a p r ó $,default,-klein; winzig; gering; schmal; Kind; Kind; Pocken; Häufel; Kleingeld; Kleinigkeit; Kleinigkeit; Schlachtabfälle,schmal-1,307-apro
Hungarian-563-alt-1,601,Hungarian,563-alt,agg,agg,ɒ ɡː,,uesz,,,^ a gg $,default,alt; bejahrt; hochbetagt 〈Person〉; schlau; erfahren; hochgewachsen,alt-1,65-agg
Hungarian-563-alt-2,602,Hungarian,563-alt,aggastyán,aggastyán,ɒ ɡː ɒ ʃ c aː n,,uesz,,,^ a gg a s ty á n $,default,alt; bejahrt; vor Alter gebrochen; blaß; kränkelnd; betagter Mann; alter Junggeselle; bejahrtes Weib,alt-2,66-aggastyan
Hungarian-563-alt-3,603,Hungarian,563-alt,avas¹ ×,avas,ɒ v ɒ ʃ,,uesz,,,^ a v a s $,default,alt; Wald mit verwilderter Vegetation; Urwald; Bannwald; verwildertes Röhricht; verfaulende Vegetation; kahl werdender Wald; mächtig; unwirklich 〈Wald〉; verwildert 〈Wald〉,alt-3,428-avas
Hungarian-563-alt-4,604,Hungarian,563-alt,avas²,avas,ɒ v ɒ ʃ,,uesz,,,^ a v a s $,default,alt; ranzig; veraltet; überaltert,alt-4,429-avas
Hungarian-566-altlebewesen-1,605,Hungarian,566-altlebewesen,alt,alt,ɒ l t,,uesz,,,^ a l t $,default,Altstimme; Alt-,Alt-1,234-alt
Hungarian-820-offnen-1,611,Hungarian,820-offnen,ajtó,ajtó,ɒ j t oː,,uesz,,,^ a j t ó $,default,Tür; Tür; ajtóőriző; öffnen,offnen-1,126-ajto
Hungarian-512-offen-1,612,Hungarian,512-offen,áperte ×,áperte,aː p ɛ r t ɛ,,uesz,,,^ á p e r t e $,default,offenbar; offen; ohne Umschweife; klipp und klar,offen-1,298-aperte
Hungarian-676-oder-1,613,Hungarian,676-oder,avagy,avagy,ɒ v ɒ ɟ,,uesz,,,^ a v a gy $,default,wenigstens; oder; ob; ungefähr,oder-1,425-avagy
Hungarian-334-bild-1,636,Hungarian,334-bild,ábráz  †,ábráz,aː b r aː z,,uesz,,,^ á b r á z $,default,Bild; Gestalt,Bild-1,447-abraz
Hungarian-179-grube-1,642,Hungarian,179-grube,árok,árok,aː r o k,,uesz,,,^ á r o k $,default,Tal; Grube; Graben; Wallgraben; Graben ziehen,Grube-1,351-arok
Hungarian-179-grube-2,643,Hungarian,179-grube,ás,ás,aː ʃ,,uesz,,,^ á s $,default,Grube; graben; Gräber; Spaten; Ausgegrabenes,Grube-2,368-as
Hungarian-568-arm-1,647,Hungarian,568-arm,ágrólszakadt,ágrólszakadt,aː ɡ r oː l s ɒ k ɒ d t,,uesz,,,^ á g r ó l sz a k a d t $,default,ärmlich aussehend; ärmlich aussehend; lumpig; arm; arm; unbeholfen; unbeholfen; ungeschickt; ungeschickt; schuftig; schuftig; rüpelhaft; rüpelhaft; hergelaufen; hergelaufen; von unbekannter Herkunft; unbekannter Abstammung,arm-1,105-agrolszakadt
Hungarian-568-arm-2,648,Hungarian,568-arm,ágrólszakadt,ágrólszakadt,aː ɡ r oː l s ɒ k ɒ d t,,uesz,,,^ á g r ó l sz a k a d t $,default,ärmlich aussehend; ärmlich aussehend; lumpig; arm; arm; unbeholfen; unbeholfen; ungeschickt; ungeschickt; schuftig; schuftig; rüpelhaft; rüpelhaft; hergelaufen; hergelaufen; von unbekannter Herkunft; unbekannter Abstammung,arm-2,105-agrolszakadt
Hungarian-303-stange-1,649,Hungarian,303-stange,árbóc,árbóc,aː r b oː t͡s,,uesz,,,^ á r b ó c $,default,Mast; Nadelbaum; stange,stange-1,323-arboc
Hungarian-537-kraftig-1,654,Hungarian,537-kraftig,avas¹ ×,avas,ɒ v ɒ ʃ,,uesz,,,^ a v a s $,default,alt; Wald mit verwilderter Vegetation; Urwald; Bannwald; verwildertes Röhricht; verfaulende Vegetation; kahl werdender Wald; mächtig; unwirklich 〈Wald〉; verwildert 〈Wald〉,machtig-1,428-avas
Hungarian-835-herstellen-1,660,Hungarian,835-herstellen,alkot,alkot,ɒ l k o t,,uesz,,,^ a l k o t $,default,herstellen; an- od zusammenpassen; Erzeuger; Verfassung,herstellen-1,198-alkot
Hungarian-835-herstellen-2,661,Hungarian,835-herstellen,állítmány,állítmány,aː lː iː t m aː ɲ,,uesz,,,^ á ll í t m á ny $,default,Herstellen; Behauptung; Lehrsatz; Prädikat,Herstellen-1,213-allitmany
Hungarian-901-versprechen-1,662,Hungarian,901-versprechen,ajánl,ajánl,ɒ j aː n l,,uesz,,,^ a j á n l $,default,anbieten; anvertrauen; opfern; opfern; versprechen; versprechen; áldozat; áldozat; Angelobung; Angelobung; Angebot; Angebot; Empfehler; Empfehler; Einschreibebrief; Einschreibebrief; empfehlen,versprechen-1,122-ajanl
Hungarian-901-versprechen-2,663,Hungarian,901-versprechen,ajánl,ajánl,ɒ j aː n l,,uesz,,,^ a j á n l $,default,anbieten; anvertrauen; opfern; opfern; versprechen; versprechen; áldozat; áldozat; Angelobung; Angelobung; Angebot; Angebot; Empfehler; Empfehler; Einschreibebrief; Einschreibebrief; empfehlen,versprechen-2,122-ajanl
Hungarian-223-grund-1,674,Hungarian,223-grund,al,al,ɒ l,,uesz,,,^ a l $,default,Streu; unterer; Tiefland; unter etw befindliches Gebiet; unter etw befindliche Sache; Unterteil; Rest; Grund; Basis,Grund-1,158-al
Hungarian-223-grund-2,675,Hungarian,223-grund,alap,alap,ɒ l ɒ p,,uesz,,,^ a l a p $,default,Grund; Fundament,Grund-2,171-alap
